sampleID,barcode,name,description,note,quantity,expiration,created,Storage,storageLayerName,Storage Position,storageLayerID,fullName,clonedFrom,clonedFromSampleID,Sample Status,Tissue Type
7220978,S21647RG1,S21647RG1,,,,,2019-07-12 19:38,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,H.10,597164,elab JSP,,,Collected,Gill
7220979,S21649RG1,S21649RG1,,,,,2019-07-12 19:38,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,F.10,597164,elab JSP,,,Collected,Gill
7220981,S21650RG1,S21650RG1,,,,,2019-07-12 19:38,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN72G,E.10,597164,elab JSP,,,Collected,Gill
7220996,S22056RG1,S22056RG1,,,,,2019-07-12 19:46,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,B.6,599576,elab JSP,,,Collected,Gill
7220997,S22052RG1,S22052RG1,,,,,2019-07-12 19:46,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,A.6,599576,elab JSP,,,Collected,Gill
7221000,S22058RG1,S22058RG1,,,,,2019-07-12 19:46,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,C.6,599576,elab JSP,,,Collected,Gill
7223718,S20543RG1,S20543RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,E.7,599576,elab JSP,,,Collected,Gill
7223720,S20544RG1,S20544RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,F.7,599576,elab JSP,,,Collected,Gill
7223721,S20548RG1,S20548RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,D.7,599576,elab JSP,,,Collected,Gill
7223723,S22038RG1,S22038RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,B.7,599576,elab JSP,,,Collected,Gill
7223724,S20547RG1,S20547RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,C.7,599576,elab JSP,,,Collected,Gill
7223726,S22033RG1,S22033RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,A.7,599576,elab JSP,,,Collected,Gill
7223729,S22031RG1,S22031RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,H.8,599576,elab JSP,,,Collected,Gill
7223730,S22037RG1,S22037RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,G.8,599576,elab JSP,,,Collected,Gill
7223733,S22035RG1,S22035RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,F.8,599576,elab JSP,,,Collected,Gill
7223735,S22036RG1,S22036RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,E.8,599576,elab JSP,,,Collected,Gill
7223738,S22039RG1,S22039RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,D.8,599576,elab JSP,,,Collected,Gill
7223739,S22040RG1,S22040RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,B.8,599576,elab JSP,,,Collected,Gill
7223741,S22034RG1,S22034RG1,,,,,2019-07-15 15:50,Prep -80 Freezer #3 - Shelf 1 - Tray 73,BRN80G,C.8,599576,elab JSP,,,Collected,Gill
